skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_school_subject,skolverket_tot_m_betyg_tcv200,skolverket_fli_m_betyg_tcv200,skolverket_poj_m_betyg_tcv200,skolverket_tot_andel_ae_tcv200,skolverket_fli_andel_ae_tcv200,skolverket_poj_andel_ae_tcv200,skolverket_tot_gbp_tcv200,skolverket_fli_gbp_tcv200,skolverket_poj_gbp_tcv200,year
Borlänge,Domnarvets skola,91219337,Kommunal,Geografi,..,.,..,.,.,.,..,.,..,2016
Borlänge,Gylle skola 6-9,11406792,Kommunal,Geografi,89,40,49,"83,1","77,5","87,8","11,7","10,7","12,6",2016
Borlänge,Immanuelskolan,24147931,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2016
Borlänge,Maserskolan,56442130,Kommunal,Geografi,81,40,41,"79,0","82,5","75,6","11,1","11,5","10,7",2016
Borlänge,Ornäs skola,33944118,Kommunal,Geografi,..,.,..,.,.,.,..,.,..,2016
Borås,Dalsjöskolan 4-9,95015820,Kommunal,Geografi,101,51,50,~100,~100,~100,"14,2","15,4","13,0",2016
Borås,Engelbrektskolan 7-9,86215855,Kommunal,Geografi,109,63,46,~100,~100,~100,"14,9","15,8","13,6",2016
Borås,Särlaskolan F-9,23108037,Kommunal,Geografi,56,32,24,"85,7",~100,"70,8","11,2","12,6","9,3",2016
Botkyrka,Björkhaga Skola,43238662,Kommunal,Geografi,70,35,35,~100,~100,"100,0","15,8","16,5","15,1",2016
Botkyrka,Brunnaskolan,53426548,Kommunal,Geografi,47,21,26,"72,3","76,2","69,2","8,2","8,7","7,8",2016
Botkyrka,Falkbergsskolan,85558618,Kommunal,Geografi,94,42,52,"86,2","85,7","86,5","12,5","13,0","12,1",2016
Botkyrka,Falkbergsskolan 1GR,23477041,Kommunal,Geografi,..,..,.,..,..,.,..,..,.,2016
Botkyrka,Kunskapsskolan Tumba,84411355,Enskild,Geografi,70,36,34,~100,~100,~100,"14,8","15,3","14,2",2016
Botkyrka,Kvarnhagsskolan,56417100,Kommunal,Geografi,34,19,15,~100,~100,~100,"13,1","13,4","12,7",2016
Botkyrka,Malmsjö skola,86985859,Kommunal,Geografi,40,20,20,~100,~100,"100,0","11,7","11,3","12,1",2016
Burlöv,Dalslundskolan 7-9,58712142,Kommunal,Geografi,56,25,31,~100,~100,~100,"12,9","12,7","13,1",2016
Burlöv,Vårboskolan,95748172,Kommunal,Geografi,76,29,47,"67,1","72,4","63,8","8,7","9,7","8,1",2016
Båstad,Förslövs skola 7-9,94453321,Kommunal,Geografi,55,23,32,~100,~100,"100,0","12,4","12,5","12,3",2016
Danderyd,Mörbyskolan,97174070,Kommunal,Geografi,124,43,81,~100,~100,"100,0","14,8","14,8","14,8",2016
Dorotea,Strandenskolan 7-9,43972051,Kommunal,Geografi,26,..,..,~100,~100,..,"10,4","10,0",..,2016
Eda,Gunnarsbyskolan 6-9,95519589,Kommunal,Geografi,39,18,21,~100,~100,"100,0","13,5","13,2","13,7",2016
Ekerö,Tappströmsskolan,52217632,Kommunal,Geografi,98,44,54,"94,9",~100,~100,"13,5","13,6","13,4",2016
Enköping,Kunskapsskolan Enköping,67723630,Enskild,Geografi,78,44,34,"100,0","100,0","100,0","16,4","17,2","15,4",2016
Enköping,Örsundsbroskolan,98587494,Kommunal,Geografi,44,22,22,~100,~100,~100,"11,8","12,0","11,5",2016
Eskilstuna,Faktoriet 7-9,64275635,Kommunal,Geografi,25,13,12,~100,~100,~100,"11,4","12,3","10,4",2016
Eskilstuna,Gökstensskolan 7-9,40577236,Kommunal,Geografi,97,43,54,~100,~100,~100,"13,8","14,2","13,5",2016
Eskilstuna,Tegelviken F-9,78673553,Kommunal,Geografi,37,18,19,"100,0","100,0","100,0","15,8","15,8","15,8",2016
Eslöv,Norrevångsskolan 7-9,37995642,Kommunal,Geografi,84,44,40,"85,7","84,1","87,5","11,6","11,6","11,6",2016
Falkenberg,Apelskolan 2,58501067,Kommunal,Geografi,51,26,25,~100,~100,~100,"12,3","12,9","11,7",2016
Falköping,Kinnarpsskolan,15357005,Kommunal,Geografi,41,17,24,~100,~100,~100,"14,1","14,4","14,0",2016
Falköping,Kyrkerörsskolan,78444521,Kommunal,Geografi,75,43,32,"89,3",~100,"84,4","12,8","13,3","12,3",2016
Falun,Britsarvsskolan,17033155,Kommunal,Geografi,84,35,49,"90,5","85,7",~100,"13,1","12,8","13,4",2016
Falun,Friskolan Mosaik,65494903,Enskild,Geografi,21,..,..,"100,0","100,0",..,"17,7","17,7",..,2016
Filipstad,Ferlinskolan,76981284,Kommunal,Geografi,80,41,39,"93,8",~100,~100,"12,3","11,2","13,5",2016
Flen,Europaskolan Malma,38215460,Enskild,Geografi,38,17,21,~100,~100,~100,"11,4","12,1","11,0",2016
Flen,Stenhammarskolan,81546814,Kommunal,Geografi,86,46,40,"84,9","87,0","82,5","11,4","12,0","10,8",2016
Färgelanda,Valboskolan 7-9,17089857,Kommunal,Geografi,69,30,39,"87,0",~100,"84,6","11,0","11,9","10,3",2016
Gnesta,Frejaskolan 6-9,71986467,Kommunal,Geografi,84,36,48,"90,5",~100,"89,6","12,8","13,9","12,0",2016
Gnesta,Gnesta Waldorfskola,35159342,Enskild,Geografi,13,..,..,~100,..,..,"12,5",..,..,2016
Gnosjö,Bäckaskolan 7-9,43172419,Kommunal,Geografi,75,32,43,~100,~100,~100,"13,7","14,2","13,3",2016
Gnosjö,Hillerstorpsskolan 7-9,33877675,Kommunal,Geografi,45,25,20,"86,7",~100,~100,"10,4","11,8","8,8",2016
Gotland,Romaskolan,60700608,Kommunal,Geografi,50,23,27,~100,~100,"100,0","12,5","12,7","12,3",2016
Grums,Jättestenskolan,16891307,Kommunal,Geografi,67,23,44,"76,1","78,3","75,0","9,7","9,5","9,9",2016
Gällivare,Myranskolan LMH,82657877,Kommunal,Geografi,21,11,10,"100,0","100,0","100,0","11,5","12,0","11,0",2016
Gävle,Kunskapsskolan Gävle,21423670,Enskild,Geografi,68,54,14,"91,2",~100,~100,"13,3","13,4","13,0",2016
Gävle,Lillhagsskolan,51387807,Kommunal,Geografi,77,34,43,"88,3",~100,"88,4","11,5","12,4","10,7",2016
Gävle,Magelungens grundskola Gävle,64745639,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2016
Gävle,Stora Sätraskolan,49779956,Kommunal,Geografi,73,38,35,"79,5","81,6","77,1","9,7","9,7","9,7",2016
Göteborg,Assaredsskolan,25852980,Enskild,Geografi,23,..,..,~100,..,~100,"12,2",..,"11,6",2016
Göteborg,Bergsjöskolan 7-9,35416997,Kommunal,Geografi,66,33,33,"84,8","78,8",~100,"10,9","10,6","11,3",2016
Göteborg,Brandströmska skolan Nylöse,11295861,Enskild,Geografi,14,..,..,~100,..,..,"10,9",..,..,2016
Göteborg,Fenestra Nya Hovås,21497343,Enskild,Geografi,48,23,25,~100,"100,0",~100,"14,9","16,0","13,9",2016
Göteborg,Katolska skolan av Notre Dame,45045293,Enskild,Geografi,30,19,11,"80,0",~100,..,"9,3","10,4","7,5",2016
Göteborg,Kunskapsskolan Krokslätt,83045482,Enskild,Geografi,55,30,25,~100,~100,"100,0","12,5","12,0","13,1",2016
Göteborg,Kärralundsskolan,14037390,Kommunal,Geografi,69,34,35,~100,~100,~100,"13,9","15,2","12,6",2016
Göteborg,Kärraskolan 7-9,85930744,Kommunal,Geografi,65,32,33,"100,0","100,0","100,0","16,1","17,0","15,2",2016
Göteborg,Lövgärdesskolan 4-9,31928894,Kommunal,Geografi,58,26,32,"56,9","61,5","53,1","6,8","8,0","5,9",2016
Göteborg,Montessoriskolan Casa,76938537,Enskild,Geografi,27,16,11,"100,0","100,0","100,0","17,5","18,3","16,4",2016
Göteborg,Nordhemsskolan,19560147,Kommunal,Geografi,178,96,82,"96,1",~100,~100,"14,1","14,5","13,6",2016
Göteborg,Sjumilaskolan F-9 A,70895303,Kommunal,Geografi,19,..,..,"52,6",..,..,"6,1",..,"7,3",2016
Göteborg,Sjumilaskolan F-9 B,70791331,Kommunal,Geografi,25,12,13,"68,0",~100,..,"7,3","9,2","5,6",2016
Göteborg,Sverigefinska skolan i Gbg,56289245,Enskild,Geografi,..,..,..,.,.,.,..,..,..,2016
Göteborg,Trulsegårdsskolan A,84103533,Kommunal,Geografi,140,80,60,"95,7",~100,~100,"15,4","16,0","14,5",2016
Göteborg,Tynneredsskolan,12026626,Kommunal,Geografi,32,13,19,"81,3",~100,"73,7","9,8","11,5","8,6",2016
Göteborg,Vittra Kronhusparken,67543412,Enskild,Geografi,44,24,20,~100,"100,0",~100,"13,9","15,2","12,4",2016
Göteborg,Ånässkolan,84500401,Kommunal,Geografi,..,.,..,..,.,..,..,.,..,2016
Göteborg,Änglagårdskolan,87427999,Enskild,Geografi,40,..,..,"100,0",..,"100,0","15,1",..,"14,6",2016
Götene,Liljestensskolan,34900938,Kommunal,Geografi,124,61,63,"91,1","91,8","90,5","11,9","12,3","11,5",2016
Hallstahammar,Lindboskolan,88403889,Kommunal,Geografi,101,49,52,"90,1",~100,"84,6","12,3","13,6","11,1",2016
Halmstad,Brunnsåkersskolan 2,87737594,Kommunal,Geografi,..,.,..,..,.,..,..,.,..,2016
Halmstad,Brunnsåkersskolan 3,61539121,Kommunal,Geografi,88,47,41,"86,4","87,2","85,4","12,4","12,4","12,4",2016
Halmstad,Fyllingeskolan 1,65388353,Kommunal,Geografi,46,25,21,~100,~100,~100,"12,2","12,4","12,0",2016
Halmstad,Getingeskolan 2,28451136,Kommunal,Geografi,63,27,36,~100,~100,"100,0","15,2","14,3","16,0",2016
Halmstad,Söndrumskolan 2,67995611,Kommunal,Geografi,68,38,30,"91,2",~100,~100,"12,4","13,2","11,5",2016
Halmstad,Vallåsskolan 1,19274764,Kommunal,Geografi,56,27,29,"83,9","81,5",~100,"10,6","10,9","10,3",2016
Halmstad,Österledskolan 1,92337813,Kommunal,Geografi,43,19,24,~100,~100,~100,"13,1","13,3","13,0",2016
Halmstad,Österledskolan 2,14732915,Kommunal,Geografi,44,18,26,~100,"100,0",~100,"13,4","14,9","12,3",2016
Hammarö,Hammarlundens skola 7-9,95243847,Kommunal,Geografi,94,53,41,~100,~100,"100,0","16,1","16,5","15,7",2016
Haninge,Dalarö skola,47640376,Kommunal,Geografi,21,..,..,"100,0",..,"100,0","13,7",..,"13,3",2016
Haninge,HagaLyckebyskolan,81680693,Kommunal,Geografi,65,31,34,"75,4","80,6","70,6","10,0","10,3","9,8",2016
Haninge,Söderbymalmsskolan,10035236,Kommunal,Geografi,118,42,76,"82,2",~100,"75,0","11,4","13,6","10,2",2016
Haninge,Tungelsta skola,38975788,Kommunal,Geografi,73,36,37,~100,~100,~100,"13,4","13,5","13,4",2016
Haninge,Utö skola,47140640,Kommunal,Geografi,..,..,.,..,..,.,..,..,.,2016
Hedemora,Annaskolan,95227669,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2016
Helsingborg,Gläntanskolan,67721487,Kommunal,Geografi,17,..,..,~100,..,..,"10,6",..,..,2016
Helsingborg,International school of Hbg/Gr,47717980,Kommunal,Geografi,44,20,24,"100,0","100,0","100,0","15,8","16,6","15,1",2016
Helsingborg,Vittra Adolfsberg,71069736,Enskild,Geografi,22,10,12,~100,..,..,"11,3","12,5","10,2",2016
Helsingborg,Västra Allé,57590681,Enskild,Geografi,20,..,..,~100,..,~100,"14,9",..,"13,5",2016
Helsingborg,Västra Berga skola,28060171,Kommunal,Geografi,35,13,22,"82,9",~100,"77,3","10,0","11,2","9,3",2016
Helsingborg,Wieselgrensskolan,51014228,Kommunal,Geografi,93,52,41,"82,8","80,8","85,4","10,9","11,1","10,7",2016
Herrljunga,Altorpskolan,24142437,Kommunal,Geografi,..,.,..,.,.,.,..,.,..,2016
Håbo,Potentia Education,15081255,Enskild,Geografi,24,11,13,"100,0","100,0","100,0","14,0","14,1","13,8",2016
Härryda,Ekdalaskolan,17730768,Kommunal,Geografi,65,30,35,~100,~100,~100,"13,1","13,4","12,8",2016
Härryda,Önnerödsskolan,28698437,Kommunal,Geografi,74,38,36,~100,~100,~100,"14,0","14,1","13,8",2016
Hässleholm,Hästveda skola 4-9,50909158,Kommunal,Geografi,35,16,19,"82,9",~100,~100,"11,6","12,8","10,7",2016
Hässleholm,T4-skolan Montessori 1-9,28804882,Kommunal,Geografi,20,..,..,~100,~100,..,"15,9","15,0",..,2016
Höganäs,Bruksskolan 7-9,58312480,Kommunal,Geografi,41,25,16,~100,~100,~100,"14,0","14,2","13,6",2016
Höganäs,Jonstorpsskolan 7-9,66888504,Kommunal,Geografi,35,15,20,"100,0","100,0","100,0","14,6","14,7","14,5",2016
Höganäs,Montessoriskolan Tellus,69182531,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2016
Höganäs,Nyhamnsskolan 4-9,94812843,Kommunal,Geografi,45,26,19,"100,0","100,0","100,0","15,2","15,6","14,6",2016
Högsby,Fröviskolan,26879428,Kommunal,Geografi,59,26,33,"83,1",~100,"81,8","12,9","13,3","12,6",2016
Höör,Ringsjöskolan,82942801,Kommunal,Geografi,72,39,33,"88,9",~100,"84,8","13,2","14,1","12,0",2016
Järfälla,Källtorpskolan,17287315,Kommunal,Geografi,99,44,55,"88,9","88,6","89,1","12,6","12,8","12,4",2016
Järfälla,Tallbohovskolan,97777849,Kommunal,Geografi,39,25,14,"82,1","80,0",~100,"10,2","10,0","10,5",2016
Jönköping,Attarpsskolan 6-9,40546319,Kommunal,Geografi,118,54,64,~100,"100,0",~100,"14,1","14,6","13,8",2016
Jönköping,Magelungens grundskola Jönköping,79427132,Enskild,Geografi,..,..,..,.,.,.,..,..,..,2016
Jönköping,Rosenlundsskolan 7-9,96558008,Kommunal,Geografi,106,55,51,"87,7","89,1","86,3","11,8","12,1","11,5",2016
Kalix,Norrskenet Kalix,20525218,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2016
Kalmar,Barkestorpsskolan,58215076,Kommunal,Geografi,49,23,26,~100,"100,0",~100,"14,0","14,6","13,5",2016
Kalmar,Lindsdalsskolorna,51848797,Kommunal,Geografi,72,30,42,~100,"100,0",~100,"13,3","14,3","12,6",2016
Kalmar,Solhagaskolan,87544967,Enskild,Geografi,..,..,.,..,..,.,..,..,.,2016
Kalmar,Södermöreskolan,79012102,Kommunal,Geografi,80,37,43,~100,"100,0",~100,"12,2","13,4","11,0",2016
Karlskrona,"Galären, grundskola",10662754,Enskild,Geografi,15,..,..,"100,0",..,..,"14,8",..,..,2016
Karlskrona,Nättrabyskolan 7-9,26209081,Kommunal,Geografi,64,36,28,"85,9","86,1",~100,"12,2","13,1","11,2",2016
Karlskrona,Piggelinen,99469094,Enskild,Geografi,26,..,..,"76,9",..,~100,"9,6",..,"9,4",2016
Karlskrona,Rosenholmskolan Sport College 7-9,89523926,Kommunal,Geografi,52,18,34,"100,0","100,0","100,0","13,7","13,2","14,0",2016
Karlskrona,Rödebyskolan 7-9,32421136,Kommunal,Geografi,85,43,42,"87,1",~100,"81,0","13,4","15,1","11,7",2016
Karlskrona,Wämöskolan 7-9,63323984,Kommunal,Geografi,87,47,40,~100,~100,"100,0","14,5","14,2","14,9",2016
Karlstad,Ilandaskolan,27418903,Kommunal,Geografi,119,61,58,~100,~100,~100,"14,3","14,6","14,1",2016
Karlstad,Rudsskolan 7-9,23345056,Kommunal,Geografi,137,52,85,"94,9",~100,"94,1","13,1","13,6","12,9",2016
Katrineholm,Erlaskolan i Katrineholm,79048710,Enskild,Geografi,18,..,..,~100,..,..,"9,4","9,5",..,2016
Katrineholm,Kunskapsskolan Katrineholm,16603772,Enskild,Geografi,67,41,26,~100,~100,~100,"13,4","14,3","12,0",2016
Katrineholm,Södra skolan,43723580,Kommunal,Geografi,67,39,28,"85,1",~100,"75,0","11,4","13,0","9,2",2016
Klippan,Ljungbyhedsskolan,75091646,Kommunal,Geografi,35,17,18,"100,0","100,0","100,0","14,6","15,6","13,6",2016
Knivsta,Margarethaskolan,51867275,Enskild,Geografi,19,..,..,"100,0","100,0",..,"16,7","18,0",..,2016
Knivsta,Thunmanskolan,92364234,Kommunal,Geografi,83,32,51,"90,4",~100,"88,2","12,2","13,2","11,5",2016
Kristianstad,Degebergaskolan,54930405,Kommunal,Geografi,47,19,28,"85,1",~100,~100,"11,7","11,2","12,1",2016
Kristianstad,Fröknegårdskolan H2,97438636,Kommunal,Geografi,67,32,35,"80,6","81,3","80,0","11,0","11,8","10,3",2016
Kristianstad,Lejonskolan,26843745,Enskild,Geografi,12,..,..,..,..,..,"8,8",..,..,2016
Kristianstad,Norretullskolan,59782586,Kommunal,Geografi,44,18,26,"84,1",~100,~100,"10,7","10,0","11,2",2016
Kristianstad,Nosabyskolan,69725960,Kommunal,Geografi,102,63,39,~100,~100,~100,"12,3","12,7","11,7",2016
Kristianstad,Sånnaskolan H,85853304,Kommunal,Geografi,71,35,36,~100,"100,0",~100,"13,5","14,1","13,0",2016
Kristianstad,Tollarps skola MH,45430802,Kommunal,Geografi,37,18,19,~100,~100,~100,"11,5","11,7","11,3",2016
Kristianstad,Önnestads skola MH,18636287,Kommunal,Geografi,45,22,23,~100,"100,0",~100,"16,8","17,2","16,4",2016
Kumla,Vialundskolan,99992013,Kommunal,Geografi,43,20,23,"88,4",~100,~100,"12,0","12,3","11,8",2016
Kungsbacka,Frillesåsskolan 4-9,10927868,Kommunal,Geografi,48,24,24,"100,0","100,0","100,0","14,1","14,6","13,6",2016
Kungsbacka,Fullriggaren Malevik 4-9,33170625,Kommunal,Geografi,43,18,25,"100,0","100,0","100,0","14,9","15,8","14,2",2016
Kungsbacka,Hålabäcksskolan 6-9,99688470,Kommunal,Geografi,65,29,36,"87,7",~100,"86,1","11,3","11,9","10,8",2016
Kungsbacka,KMS Kullaviks Montessoriskola,10902849,Enskild,Geografi,26,..,..,"100,0","100,0",..,"17,0","17,5",..,2016
Kungsbacka,Toråsskolan 4-9,14101582,Kommunal,Geografi,58,27,31,~100,"100,0",~100,"14,5","15,6","13,5",2016
Kungsbacka,Åsa Gårdsskola 4-9,16824824,Kommunal,Geografi,25,..,..,"100,0",..,"100,0","16,4",..,"16,3",2016
Kungsör,Kung Karls skola,46834580,Kommunal,Geografi,73,32,41,~100,~100,~100,"12,4","13,1","11,8",2016
Kungälv,Munkegärdeskolan,51596946,Kommunal,Geografi,70,32,38,~100,~100,~100,"12,7","12,7","12,6",2016
Kävlinge,Tolvåkerskolan,13578112,Kommunal,Geografi,130,68,62,"95,4","92,6",~100,"14,7","14,6","14,8",2016
Köping,Malmaskolan 3-9,49665496,Kommunal,Geografi,50,20,30,"100,0","100,0","100,0","13,2","14,3","12,5",2016
Laholm,Lagaholmsskolan,50150550,Kommunal,Geografi,125,57,68,"88,0","80,7",~100,"11,4","11,1","11,6",2016
Landskrona,Glumslövs skola,30917121,Kommunal,Geografi,47,19,28,~100,~100,~100,"13,7","13,2","14,1",2016
Landskrona,PeterSvenskolan Landskrona,94830241,Enskild,Geografi,17,..,..,~100,..,..,"10,1","9,0",..,2016
Landskrona,Säbyholms Montessoriskola,42908219,Enskild,Geografi,19,..,..,~100,..,~100,"14,6",..,"14,3",2016
Laxå,Centralskolan,24748604,Kommunal,Geografi,52,27,25,"84,6","81,5",~100,"12,0","12,3","11,6",2016
Leksand,Banérskolan,89749001,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2016
Lerum,Montessoriskolan Floda säteri,82651095,Enskild,Geografi,26,15,11,"100,0","100,0","100,0","16,8","16,5","17,3",2016
Lerum,Rydsbergsskolan grundskola,24103764,Kommunal,Geografi,65,32,33,"100,0","100,0","100,0","15,1","15,6","14,6",2016
Lerum,Röselidsskolan skolenhet B,38539206,Kommunal,Geografi,41,22,19,~100,~100,~100,"12,7","14,0","11,3",2016
Lessebo,Bikupan,74218950,Kommunal,Geografi,73,35,38,"75,3","71,4","78,9","9,8","10,2","9,5",2016
Lidingö,Futuraskolan International Lidingö,36276828,Enskild,Geografi,42,23,19,"100,0","100,0","100,0","16,0","15,5","16,6",2016
Lidingö,Vittra på Lidingö,46585145,Enskild,Geografi,..,..,..,..,..,..,..,..,..,2016
Lidköping,Dalängskolan,37707717,Kommunal,Geografi,130,56,74,"92,3","87,5",~100,"12,6","12,7","12,5",2016
Lidköping,Fredriksdalskolan,25486432,Kommunal,Geografi,104,42,62,"94,2",~100,~100,"13,4","13,8","13,1",2016
Lindesberg,Fröviskolan 7-9,81993942,Kommunal,Geografi,68,35,33,~100,~100,~100,"12,3","12,5","12,0",2016
Linköping,Berzeliusskolan 4,59327275,Kommunal,Geografi,190,84,106,"95,3","92,9",~100,"13,9","14,0","13,9",2016
Linköping,Elsa Brändströms skola,95720059,Kommunal,Geografi,19,..,..,"100,0",..,"100,0","16,4",..,"16,9",2016
Linköping,Tornhagsskolan 6-9,75688028,Kommunal,Geografi,66,30,36,"90,9",~100,~100,"14,0","12,3","15,4",2016
Linköping,Ånestadsskolan,59548402,Kommunal,Geografi,110,52,58,"94,5",~100,~100,"14,6","14,3","14,9",2016
Ljungby,Kungshögsskolan 2,87262274,Kommunal,Geografi,42,22,20,"76,2",~100,"65,0","11,1","12,8","9,1",2016
Ljusdal,Stenhamreskolan,38870809,Kommunal,Geografi,54,19,35,"85,2",~100,"80,0","9,9","10,9","9,4",2016
Ljusnarsberg,Kyrkbacksskolan,82038420,Kommunal,Geografi,41,11,30,~100,"100,0",~100,"11,2","12,0","10,8",2016
Lomma,Karstorpskolan Södra,92463760,Kommunal,Geografi,48,26,22,~100,~100,"100,0","14,4","14,0","14,9",2016
Luleå,Bergskolan,72942852,Kommunal,Geografi,50,22,28,~100,"100,0",~100,"13,7","15,5","12,3",2016
Luleå,Kråkbergsskolan,46323920,Kommunal,Geografi,65,27,38,~100,"100,0",~100,"14,5","15,4","13,9",2016
Lund,Freinetskolan i Lund,60492534,Enskild,Geografi,13,..,..,"100,0",..,..,"14,8",..,..,2016
Lund,Genarps skola 7-9,19145800,Kommunal,Geografi,32,21,11,~100,"100,0",~100,"14,8","16,2","12,3",2016
Lund,Internationella Engelska Skolan Lund,63826797,Enskild,Geografi,28,..,..,"100,0","100,0",..,"13,9","14,0",..,2016
Lund,Killebäckskolan 7-9,42754004,Kommunal,Geografi,88,38,50,"94,3",~100,~100,"13,2","13,9","12,7",2016
Lund,Kunskapsskolan Lund,52037312,Enskild,Geografi,75,38,37,"100,0","100,0","100,0","17,0","17,1","16,8",2016
Lund,Maria Montessori-skolan,40248457,Enskild,Geografi,10,..,..,"100,0",..,..,"17,3",..,..,2016
Lund,Stiftelsen BMSL,75154610,Enskild,Geografi,25,13,12,"100,0","100,0","100,0","18,8","19,4","18,1",2016
Lund,Tunaskolan 6-9,76684064,Kommunal,Geografi,..,..,.,..,..,.,..,..,.,2016
Lund,Östratornskolan 7-9,58622330,Kommunal,Geografi,68,31,37,~100,~100,~100,"14,8","15,3","14,3",2016
Lycksele,Finnbacksskolan,35637430,Kommunal,Geografi,115,60,55,~100,~100,"100,0","13,7","14,1","13,1",2016
Malmö,Apelgårdsskolan,56672773,Kommunal,Geografi,31,13,18,"64,5",..,"66,7","8,3","8,5","8,2",2016
Malmö,Backaskolan,55040455,Enskild,Geografi,25,12,13,"100,0","100,0","100,0","16,4","17,7","15,2",2016
Malmö,Bergaskolan,40035084,Kommunal,Geografi,140,70,70,~100,~100,~100,"15,6","15,8","15,4",2016
Malmö,Bladins grundskola,57534630,Enskild,Geografi,22,..,..,"100,0","100,0",..,"16,0","16,9",..,2016
Malmö,Boukefs Privatskola,62868982,Enskild,Geografi,22,..,..,"100,0","100,0",..,"13,9","13,8",..,2016
Malmö,Bäckagårdsskolan,12636945,Kommunal,Geografi,53,29,24,~100,~100,"100,0","16,4","16,7","16,0",2016
Malmö,Dammfriskolan,48874671,Kommunal,Geografi,68,32,36,"82,4","84,4","80,6","10,3","10,5","10,1",2016
Malmö,Humfryskolan,91823719,Enskild,Geografi,24,..,..,~100,~100,..,"12,2","12,2",..,2016
Malmö,Johannesskolan,82797662,Kommunal,Geografi,34,11,23,"79,4",..,~100,"9,7","8,0","10,5",2016
Malmö,Kastanjeskolan,19024032,Enskild,Geografi,22,12,10,~100,~100,..,"14,5","15,2","13,8",2016
Malmö,Kryddgårdsskolan,66836744,Kommunal,Geografi,..,..,..,..,..,..,..,..,..,2016
Malmö,Lindängeskolan,75875503,Kommunal,Geografi,60,26,34,"76,7","73,1","79,4","9,2","8,9","9,3",2016
Malmö,Runstyckets skola,57386343,Enskild,Geografi,18,..,..,"100,0",..,"100,0","14,7",..,"14,4",2016
Malmö,Värner Rydénskolan,65099615,Kommunal,Geografi,62,30,32,"53,2","50,0","56,3","6,2","5,9","6,4",2016
Mariestad,Högelidsskolan 7-9,62694008,Kommunal,Geografi,72,35,37,"91,7",~100,"86,5","12,5","13,9","11,2",2016
Mark,Montessoriskolan Pärlan,80072686,Enskild,Geografi,..,..,.,..,..,.,..,..,.,2016
Mark,Ängskolan,13666864,Kommunal,Geografi,120,56,64,"90,8",~100,"85,9","12,3","13,2","11,4",2016
Mark,Örbyskolan 7-9,76300443,Kommunal,Geografi,43,23,20,"86,0",~100,~100,"13,6","13,6","13,6",2016
Motala,Hällaskolan,87963970,Kommunal,Geografi,78,38,40,~100,"100,0",~100,"13,9","14,7","13,1",2016
Motala,Karin Boye-skolan,11664326,Enskild,Geografi,69,40,29,~100,~100,"100,0","14,4","14,8","13,9",2016
Motala,Mariebergsskolan,87531665,Kommunal,Geografi,54,18,36,~100,~100,~100,"13,7","14,2","13,4",2016
Munkedal,Kungsmarksskolan,44650086,Kommunal,Geografi,94,46,48,~100,~100,~100,"14,0","14,7","13,4",2016
